"","Log_Total_hour_salary","ingtot","y_ingLab_m","y_salary_m","y_salarySec_m","y_ingLab_m_ha","y_salary_m_hu","y_salarySec_m_ha","totalHoursWorked","hoursWorkUsual","hoursWorkActualSecondJob","age","sex","estrato1","maxEducLevel","college","edu_years","exp","oficio","relab","formal","microEmpresa","regSalud","sizeFirm","p6240","ocu","dsi"
"4479",8.2250567468168,8e+05,8e+05,8e+05,NA,3733.33325195312,3733.33325195312,NA,50,50,NA,19,0,1,6,1,11,2,45,1,0,"No Small",1,3,1,1,0
"4480",8.42524193442179,938211,938211,850000,NA,4560.748046875,4131.9443359375,NA,48,48,NA,51,1,1,6,1,11,34,95,1,1,"Small",1,2,1,1,0
"4481",7.69051461823177,450000,450000,450000,NA,2187.5,2187.5,NA,48,48,NA,19,1,1,6,1,11,2,95,1,0,"No Small",3,3,1,1,0
"4482",8.3067007219413,833333.333333333,833333.3125,8e+05,NA,4050.92578125,3888.88891601562,NA,48,48,NA,42,1,3,6,1,11,25,39,1,1,"No Small",1,5,1,1,0
"4483",8.04273520310181,640000,640000,640000,NA,3111.11108398438,3111.11108398438,NA,48,48,NA,21,0,3,6,1,11,4,45,1,0,"Small",NA,2,1,1,0
"4484",8.34913135482344,869453,869453,781242,NA,4226.5078125,3797.7041015625,NA,48,48,NA,34,1,1,6,1,11,17,45,1,1,"Small",1,2,1,1,0
"4485",8.81712632819667,1388333.33333333,1388333.375,1300000,NA,6748.8427734375,6319.4443359375,NA,48,48,NA,44,0,3,7,0,13,25,39,1,1,"No Small",1,5,1,1,0
"4486",7.97819671858534,1e+06,1e+06,1e+06,NA,2916.66674804688,2916.66674804688,NA,80,80,NA,62,1,2,4,0,5,51,58,1,0,"Small",NA,2,1,1,0
"4487",8.4890223590924,1e+06,1e+06,1e+06,NA,4861.111328125,4861.111328125,NA,48,48,NA,34,1,1,7,0,13,15,3,1,0,"Small",NA,2,1,1,0
"4488",8.3910419758438,1133333.33333333,1133333.375,1100000,NA,4407.40771484375,4277.77783203125,NA,60,60,NA,33,0,1,7,0,13,14,39,1,1,"No Small",1,5,1,1,0
"4489",8.43551826046365,1184877.66666667,1184877.625,1e+06,NA,4607.857421875,3888.88891601562,NA,60,60,NA,41,1,1,6,1,11,24,58,1,1,"No Small",1,5,1,1,0
"4490",7.92495218706387,960000,640000,640000,NA,2765.43212890625,2765.43212890625,NA,54,54,NA,42,0,1,6,1,11,25,53,1,0,"No Small",1,3,1,1,0
"4491",8.34283980427146,1e+06,9e+05,9e+05,NA,4200,4200,NA,50,50,NA,51,1,2,3,0,4,41,97,1,0,"No Small",NA,3,1,1,0
"4492",8.41854943406759,931953,931953,781242,NA,4530.3271484375,3797.7041015625,NA,48,48,NA,24,1,1,6,1,11,7,90,1,1,"No Small",1,4,1,1,0
"4493",8.54244709843312,1054877.66666667,1054877.625,9e+05,NA,5127.87744140625,4375,NA,48,48,NA,22,0,3,7,0,16,0,39,1,1,"No Small",1,5,1,1,0
"4494",7.94366624671528,869453,869453,781242,NA,2817.671875,2531.802734375,NA,72,72,NA,43,1,1,5,0,7,30,79,1,1,"No Small",1,4,1,1,0
"4495",8.34913135482344,869453,869453,781242,NA,4226.5078125,3797.7041015625,NA,48,48,NA,23,0,1,7,0,13,4,97,1,1,"No Small",1,5,1,1,0
"4496",8.41745054648622,1030929.41666667,930929.4375,781242,NA,4525.3515625,3797.7041015625,NA,48,48,NA,24,1,1,7,0,13,5,97,1,1,"No Small",1,5,1,1,0
"4497",8.26587877011078,8e+05,8e+05,8e+05,NA,3888.88891601562,3888.88891601562,NA,48,48,NA,21,0,1,7,0,13,2,33,1,1,"Small",1,2,1,1,0
"4498",8.34913135482344,869453,869453,781242,NA,4226.5078125,3797.7041015625,NA,48,48,NA,39,0,1,6,1,11,22,55,1,1,"No Small",1,5,1,1,0
"4499",8.59926089067889,1116544.33333333,1116544.375,1e+06,NA,5427.646484375,4861.111328125,NA,48,48,NA,23,1,2,6,1,11,6,87,1,1,"No Small",1,3,1,1,0
"4500",8.36717813754002,885286.333333333,885286.3125,781242,NA,4303.47509765625,3797.7041015625,NA,48,48,NA,18,1,2,5,0,7,5,87,1,1,"No Small",1,3,1,1,0
"4501",8.44820028505205,1080000,960000,960000,NA,4666.66650390625,4666.66650390625,NA,48,48,NA,26,0,2,6,1,11,9,54,3,0,"Small",3,1,1,1,0
"4502",8.49668032758679,1007687.41666667,1007687.4375,8e+05,NA,4898.48046875,3888.88891601562,NA,48,48,NA,26,0,2,6,1,11,9,33,1,1,"Small",1,2,1,1,0
