"Log_Total_hour_salary","ingtot","y_ingLab_m","y_salary_m","y_salarySec_m","y_ingLab_m_ha","y_salary_m_hu","y_salarySec_m_ha","totalHoursWorked","hoursWorkUsual","hoursWorkActualSecondJob","age","sex","estrato1","maxEducLevel","college","edu_years","exp","oficio","relab","formal","microEmpresa","regSalud","sizeFirm","p6240","ocu","dsi"
8.52824304906573,650000,650000,650000,NA,5055.5556640625,5055.5556640625,NA,30,30,NA,33,0,4,7,0,18,9,53,1,1,"No Small",1,3,1,1,0
8.32633518540786,849857,849857,737717,NA,4131.24951171875,3586.12426757812,NA,48,48,NA,53,0,2,6,1,11,36,55,1,1,"No Small",1,5,1,1,0
8.24936582823768,897717,737717,737717,NA,3825.19921875,3825.19921875,NA,45,45,NA,60,0,3,4,0,5,49,54,3,0,"Small",1,1,6,1,0
9.43027879234144,2018667,1602000,1602000,NA,12460,12460,NA,30,30,NA,43,0,2,7,0,16,21,13,2,1,"No Small",2,5,6,1,0
8.24056097661395,780000,780000,780000,NA,3791.66674804688,3791.66674804688,NA,48,48,NA,62,0,2,6,1,11,45,92,1,0,"No Small",3,3,6,1,0
9.4290295642217,3200000,3200000,3200000,NA,12444.4443359375,12444.4443359375,NA,60,60,NA,47,1,2,6,1,11,30,98,1,0,"No Small",1,3,1,1,0
9.70096326849481,1550000,7e+05,7e+05,NA,16333.3330078125,16333.3330078125,NA,10,10,NA,44,0,3,7,0,14,24,37,1,1,"No Small",1,3,4,1,0
7.75505310449211,8e+05,8e+05,8e+05,NA,2333.33325195312,2333.33325195312,NA,80,80,NA,23,1,2,6,1,11,6,37,1,0,"Small",NA,2,1,1,0
9.09307803813342,3201666.66666667,3201666.75,2900000,NA,8893.5185546875,8055.5556640625,NA,84,84,NA,38,1,3,5,0,8,24,58,1,1,"No Small",1,5,6,1,0
8.2236021589371,766883.666666667,766883.6875,737717,NA,3727.90673828125,3586.12426757812,NA,48,48,NA,22,1,3,6,1,11,5,38,1,1,"No Small",1,5,1,1,0
8.18482730710011,737717,737717,737717,NA,3586.12426757812,3586.12426757812,NA,48,48,NA,21,0,3,6,1,11,4,6,1,1,"Small",1,2,1,1,0
8.2236021589371,766883.666666667,766883.6875,737717,NA,3727.90673828125,3586.12426757812,NA,48,48,NA,47,1,3,6,1,11,30,85,1,1,"No Small",1,4,1,1,0
8.2645867597735,798967,798967.0625,737717,NA,3883.86767578125,3586.12426757812,NA,48,48,NA,50,0,3,6,1,11,33,55,1,1,"No Small",1,5,1,1,0
8.88093902485602,1541473.33333333,1541473.375,1300000,NA,7193.54248046875,6066.66650390625,NA,50,50,NA,35,1,3,7,0,13,16,3,1,1,"No Small",1,5,1,1,0
8.55392988369142,889217,889217,737717,NA,5187.09912109375,4303.34912109375,NA,40,40,NA,37,0,3,7,0,14,17,54,1,1,"No Small",1,5,6,1,0
8.61022467611347,1058300,1058300,9e+05,NA,5487.4814453125,4666.66650390625,NA,45,45,NA,24,0,2,7,0,16,2,21,1,1,"No Small",1,5,1,1,0
7.63727005575676,720000,320000,3e+05,NA,2074.07397460938,1944.44445800781,NA,36,36,NA,47,0,2,5,0,6,35,54,3,0,"Small",3,1,1,1,0
7.64969262371151,530000,360000,360000,NA,2100,2100,NA,40,40,NA,46,0,3,6,1,11,29,54,3,0,"Small",1,1,1,1,0
8.24056097661395,838333,780000,780000,NA,3791.66674804688,3791.66674804688,NA,48,48,NA,57,0,2,6,1,10,41,55,1,1,"No Small",1,5,1,1,0
9.07680897935166,6e+05,6e+05,6e+05,NA,8750,8750,NA,16,16,NA,24,1,2,6,1,11,7,58,1,0,"Small",3,2,6,1,0
8.18482730710011,737717,737717,737717,NA,3586.12426757812,3586.12426757812,NA,48,48,NA,20,0,2,7,0,13,1,33,1,1,"No Small",1,4,1,1,0
8.14400535512938,737717,737717,737717,NA,3442.67944335938,3442.67944335938,NA,50,50,NA,42,1,2,5,0,7,29,93,1,0,"Small",3,2,6,1,0
8.73181680088299,1274806.66666667,1274806.625,1100000,NA,6196.9765625,5347.22216796875,NA,48,48,NA,25,1,2,6,1,11,8,37,1,1,"No Small",1,5,1,1,0
9.80632382002636,2333333.33333333,2333333.25,2e+06,NA,18148.1484375,15555.5556640625,NA,30,30,NA,58,0,3,7,0,16,36,13,2,1,"No Small",2,5,6,1,0
9.40371173812808,2600000,2600000,2100000,NA,12133.3330078125,9800,NA,50,50,NA,46,1,2,6,1,11,29,39,1,1,"No Small",1,4,1,1,0
8.43772904355823,950000,950000,950000,NA,4618.0556640625,4618.0556640625,NA,48,48,NA,25,1,2,6,1,11,8,45,1,1,"No Small",1,5,1,1,0
9.26221227823247,2166666.66666667,2166666.75,2e+06,NA,10532.408203125,9722.22265625,NA,48,48,NA,31,0,3,7,0,16,9,6,1,1,"No Small",1,5,1,1,0
9.02344363844184,1599806.66666667,1599806.625,1400000,NA,8295.2939453125,7259.25927734375,NA,45,45,NA,23,0,3,7,0,17,0,2,1,1,"No Small",1,5,6,1,0
8.56946621567264,903140,903140,8e+05,NA,5268.31689453125,4666.66650390625,NA,40,40,NA,25,1,3,7,0,16,3,39,1,1,"No Small",1,3,2,1,0
8.67134389914528,1200000,1200000,1200000,NA,5833.33349609375,5833.33349609375,NA,48,48,NA,26,1,2,6,1,11,9,77,1,0,"Small",3,2,1,1,0
