Total_salary,Total_hour_salary,y_salary_m,y_salarySec_m,bin_male,age,maxEducLevel,college,oficio,p6210,p6210s1,p6240,relab,formal,ocu,dsi,totalHoursWorked,Log_Total_hour_salary,out_totalHoursWorked,out_Total_salary
1050000,5104.16650390625,800000,NA,1,56,6,1,59,5,11,1,1,1,1,0,48,8.537812446731218,0,0
1600000,7777.77783203125,1600000,NA,0,57,6,1,39,5,11,1,1,1,1,0,48,8.959025950670723,0,0
1333140,6480.54150390625,1200000,NA,0,23,7,0,13,6,5,6,1,1,1,0,48,8.776559351272557,0,0
857193.4375,2857.3115234375,737717,NA,0,31,6,1,53,5,11,1,1,0,1,0,70,7.9576364349415485,0,0
737717,2459.056640625,737717,NA,0,21,6,1,45,5,11,1,1,0,1,0,70,7.8075330759586405,0,0
829217,3224.73266601562,737717,NA,0,35,7,0,97,6,1,6,1,1,1,0,60,8.07860533153523,0,0
3595500,18643.333984375,2400000,NA,1,37,7,0,12,6,5,1,2,1,1,0,45,9.833243934068406,0,0
1700000,9015.1513671875,1500000,200000,0,40,7,0,39,6,5,4,1,0,1,0,44,9.106661926088526,0,0
812500,2916.66674804688,750000,NA,1,35,6,1,51,5,11,6,1,0,1,0,65,7.9781967185853375,0,0
1200000,5833.33349609375,1200000,NA,1,45,5,0,58,4,8,1,1,1,1,0,48,8.671343899145281,0,0
800000,3888.88891601562,800000,NA,0,45,5,0,55,4,9,1,1,1,1,0,48,8.265878770110776,0,0
300000,3500,300000,NA,1,19,7,0,33,6,4,3,1,0,1,0,20,8.160518247477505,1,0
820857,4788.33251953125,737717,NA,0,40,7,0,3,6,3,1,1,1,1,0,40,8.47393751279008,0,0
1023140,4973.59716796875,850000,NA,1,47,6,1,97,5,11,1,1,1,1,0,48,8.511898633542216,0,0
750000,4375,750000,NA,0,48,5,0,45,4,9,1,1,0,1,0,40,8.383661798791715,0,0
2708333.25,13165.5087890625,2500000,NA,0,35,7,0,77,6,5,1,1,1,1,0,48,9.485355718282946,0,0
1450000,6041.66650390625,1200000,NA,1,38,6,1,58,5,11,1,2,1,1,0,56,8.70643516411511,0,0
3924166.75,22890.97265625,3400000,NA,1,53,7,0,12,6,5,6,2,1,1,0,40,10.038497904671612,0,0
737717,3586.12426757812,737717,NA,0,58,3,0,54,3,1,1,3,1,1,0,48,8.184827307100107,0,0
803140,3904.15283203125,720000,NA,1,66,3,0,58,3,3,1,1,1,1,0,48,8.269796094315726,0,0
8000000,33939.39453125,8000000,NA,1,50,7,0,21,6,6,1,1,1,1,0,55,10.432331699243413,0,1
2925000,14218.75,2700000,NA,0,51,7,0,33,6,7,1,2,1,1,0,48,9.562316795133361,0,0
40000,518.518493652344,40000,NA,1,62,6,1,79,5,11,2,1,0,1,0,18,6.250975694636872,1,0
144000,1866.66662597656,144000,NA,0,57,5,0,54,4,7,4,3,0,1,0,18,7.531909566256859,1,0
440000,6416.66650390625,440000,NA,0,28,6,1,80,5,11,2,1,0,1,0,16,8.766654025682561,1,0
3216666.75,15636.57421875,2900000,NA,0,32,7,0,13,6,7,1,2,1,1,0,48,9.657367950384732,0,0
